full_name,ast_x,ast_y,ast_z,r_au,class
101869 (1999 MM),-1.806647879379316,-1.5357246846224473,0.18657531593265353,2.378494737337012,APO
101955 Bennu (1999 RQ36),-1.1905549539581672,-0.2350999764400729,-0.020297748986813427,1.2137154097770977,APO
103067 (1999 XA143),1.889592875286337,0.005125515109665413,-1.3502146383433953,2.322426979440863,APO
111253 (2001 XU10),-1.9989136417678304,0.9863682586681473,-0.8045077224912989,2.369770192339692,APO
136617 (1994 CC),-1.6564856224993003,0.09385359367752322,-0.13576044817823776,1.6646873622042777,APO
136618 (1994 CN2),-2.142360089649441,0.47199107794491046,0.05121515918895956,2.1943348249328563,APO
136795 Tatsunokingo (1997 BQ),2.4956448037103756,0.28890151332971586,-0.33600536887714544,2.5346807843602446,APO
136849 (1998 CS1),1.4213844971418792,-0.6085371097210526,-0.15254924973192457,1.5536803326993294,APO
137108 (1999 AN10),0.9807007486977839,-0.6536688744189767,0.20502437477279042,1.196282554470949,APO
137120 (1999 BJ8),1.6953379283969974,-1.0305215700388557,-0.05827103883879614,1.9848276780980565,APO
137126 (1999 CF9),1.8763850213312192,1.2748514804586555,-0.18524635171009451,2.276045530371852,APO
137427 (1999 TF211),3.5756809018209843,-0.7516319063888803,0.01203630442660475,3.6538458241931004,APO
138095 (2000 DK79),-0.0006973162364943275,0.7556606855964179,0.9776317636064542,1.2356323980934816,AMO
138127 (2000 EE14),-0.5948034782739654,0.5448829390576778,-0.1256751093235959,0.8163839955232086,ATE
138175 (2000 EE104),0.4698541361487814,0.9498575336367938,0.05999997764429407,1.0614104958874329,APO
138404 (2000 HA24),-0.9080493552146752,-0.9577633349640939,-0.04938882054856,1.3207208232259036,APO
138524 (2000 OJ8),0.9013774614949672,-1.776645270292071,0.2051219018072178,2.0027542882598723,AMO
138727 (2000 SU180),-1.2572512386715258,-1.713477716317441,-0.44745375838733314,2.1718428643326084,APO
138971 (2001 CB21),0.6782368696622231,1.1064317668414996,0.163415177929216,1.308014153754787,APO
139211 (2001 GN2),1.8347233209352318,1.1831840248271652,-0.6761739690132006,2.2854639216931165,AMO
139359 (2001 ME1),-3.82484917630208,-2.6376361841798635,0.37151317450877797,4.660967485446257,APO
139622 (2001 QQ142),-1.259966650107962,0.44640865795079726,0.21450020600695574,1.3538120207971038,APO
140039 (2001 SO73),0.6804024428192805,-0.8817128534638435,0.08846553809119691,1.1172247721866726,APO
140158 (2001 SX169),-0.5057037759293556,0.5959659215255966,0.002121646733554052,0.7816112780621344,APO
140288 (2001 SN289),2.225712145566018,0.7711554786842718,1.1816350114954188,2.6352868207496187,APO
141053 (2001 XT1),-1.7092196787836027,-0.7893016830362327,-0.08356982622322989,1.8845192949502887,APO
141432 (2002 CQ11),-0.5744078706466603,-0.8246919466936096,0.019138944488152274,1.0052002327885954,ATE
141495 (2002 EZ11),-1.9838445889563583,-0.2734255301290145,0.05712282328382796,2.0034130604040867,APO
141525 (2002 FV5),-1.6174797450176481,-0.18166067356491192,0.5895057418267353,1.7311147695947555,APO
141527 (2002 FG7),0.8004217756692447,-1.4702562697810784,0.25294564966866534,1.6930180210152461,APO
141593 (2002 HK12),0.16011437492339287,2.3409087918271916,0.06302402231843479,2.3472244485988436,APO
141614 (2002 JV15),-0.9215096919729631,1.8912896382647322,-0.26423624499537934,2.1203719959895966,APO
